DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,TXTX,RRR,TOT_RRR
2021-06-02 05:00:00,2021,Jun,1,SNG,2,1,500,999.0,2.0,,60.0,3,6.0,2625.0,5360.0,,,,,10.4,10.4,10.4,100.0,832.9,1490.0,1017.4,,,
2021-06-02 05:30:00,2021,Jun,1,SNG,2,4,530,999.0,1.0,,60.0,2,6.0,2625.0,6360.0,,,,,10.6,10.6,10.6,100.0,833.1,1492.0,1017.6,,0.0,0.0
2021-06-02 05:30:00,2021,Jun,56,GKP,2,4,530,999.0,1.0,,30.0,10,4.0,4075.0,,,,,,23.0,23.0,23.0,100.0,994.8,1003.7,1004.1,,0.0,0.0
2021-06-02 05:30:00,2021,Jun,17,HND,2,4,530,999.0,2.0,,12.0,10,2.0,2360.0,,,,,,24.8,23.0,22.2,84.0,979.7,1003.6,1005.0,,0.0,0.0
2021-06-02 05:30:00,2021,Jun,10,CDH,2,4,530,999.0,2.0,,60.0,3,4.0,1630.0,4360.0,,,,,23.6,22.3,21.5,88.0,968.9,1004.1,1005.8,,0.0,0.0
2021-06-02 06:00:00,2021,Jun,56,GKP,2,1,600,999.0,1.0,,40.0,10,3.0,3075.0,,,,,,23.2,23.2,23.2,100.0,994.8,1003.7,1004.1,,,
2021-06-02 06:00:00,2021,Jun,10,CDH,2,1,600,999.0,2.0,,60.0,2,4.0,1630.0,4360.0,,,,,24.8,22.5,21.3,81.0,969.0,1004.1,1005.9,,,
2021-06-02 06:00:00,2021,Jun,17,HND,2,1,600,999.0,2.0,,12.0,10,2.0,2360.0,,,,,,25.2,23.2,22.2,84.0,980.0,1004.0,1005.3,,,
2021-06-02 06:00:00,2021,Jun,1,SNG,2,1,600,180.0,3.0,,60.0,1,5.0,2625.0,5360.0,,,,,11.2,11.2,11.2,100.0,833.2,1492.0,1017.7,,,
2021-06-02 06:30:00,2021,Jun,1,SNG,2,1,630,999.0,2.0,,60.0,3,6.0,3625.0,5359.0,,,,,12.5,12.5,12.5,100.0,833.3,1493.0,1017.9,,,
2021-06-02 06:30:00,2021,Jun,56,GKP,2,1,630,999.0,1.0,,50.0,10,3.0,3075.0,,,,,,24.8,24.8,24.8,100.0,995.0,1003.8,1004.3,,,
2021-06-02 06:30:00,2021,Jun,10,CDH,2,1,630,999.0,2.0,,60.0,3,5.0,3630.0,4360.0,,,,,25.4,22.6,20.9,76.0,969.1,1004.1,1006.0,,,
2021-06-02 06:30:00,2021,Jun,17,HND,2,1,630,999.0,2.0,,12.0,10,2.0,2360.0,,,,,,25.6,23.4,22.3,82.0,980.0,1004.0,1005.3,,,
2021-06-02 07:00:00,2021,Jun,1,SNG,2,1,700,999.0,2.0,,60.0,2,6.0,3625.0,6359.0,,,,,14.1,13.6,13.1,92.0,833.5,1494.0,1018.1,,,
2021-06-02 07:00:00,2021,Jun,10,CDH,2,1,700,999.0,2.0,,60.0,2,5.0,3630.0,1835.0,4360.0,,,,27.1,23.4,21.0,69.0,969.2,1004.0,1006.1,,,
2021-06-02 07:00:00,2021,Jun,56,GKP,2,1,700,999.0,1.0,,60.0,2,3.0,3075.0,,,,,,27.0,27.0,27.0,100.0,995.2,1004.0,1004.5,,,
2021-06-02 07:00:00,2021,Jun,17,HND,2,1,700,999.0,2.0,,15.0,10,2.0,2360.0,,,,,,26.2,23.8,22.7,81.0,980.5,1004.5,1005.8,,,
2021-06-02 07:30:00,2021,Jun,10,CDH,2,1,730,999.0,2.0,,60.0,2,5.0,3630.0,1835.0,4360.0,,,,27.9,23.7,21.2,67.0,969.5,1004.2,1006.4,,,
